cloud,check_id,check_title,service,category,severity,status,resource,detail,cis,remediation
aws,AWS-IAM-001,Root account has active access keys,IAM,Identity & Access,CRITICAL,PASS,root-account,No root access keys found.,CIS AWS 1.3,"Delete the root access keys, enable SCPs/Organizations and use IAM roles with temporary credentials."
aws,AWS-IAM-002,Root account does not have MFA enabled,IAM,Identity & Access,CRITICAL,PASS,root-account,Root MFA enabled.,CIS AWS 1.4 / 1.5,Enable a hardware MFA device on the root account immediately.
aws,AWS-IAM-003,IAM user access keys older than 90 days,IAM,Identity & Access,MEDIUM,FAIL,user:ci-bot/key:AKIASTALE98765,Access key AKIASTALE98765 is 210 days old (limit 90).,CIS AWS 1.13,Rotate keys and prefer roles/SSO for humans and short-lived credentials for workloads.
aws,AWS-IAM-004,Console users without MFA,IAM,Identity & Access,HIGH,FAIL,user:bob,Console user does not have MFA enabled.,CIS AWS 1.9,Require MFA for all console users (e.g. via an IAM policy denying console access without MFA).
aws,AWS-IAM-005,IAM policies granting full administrative privileges,IAM,Identity & Access,CRITICAL,PASS,iam-policies,No policies grant blanket administrative access.,CIS AWS 1.15,"Replace full-admin policies with scoped, least-privilege policies; audit usage with IAM Access Analyzer."
aws,AWS-IAM-006,IAM password policy is weak or missing,IAM,Identity & Access,MEDIUM,PASS,account-password-policy,Password policy meets minimum hardening requirements.,CIS AWS 1.7 / 1.8,Configure a compliant password policy in IAM.
aws,AWS-S3-001,S3 bucket publicly accessible,S3,Storage & Data Protection,CRITICAL,PASS,s3-buckets,No buckets found publicly accessible.,CIS AWS 2.1.4,Block public access at account level (BlockPublicAcl / BlockPublicPolicy) and keep ACLs off.
aws,AWS-S3-002,S3 bucket default encryption disabled,S3,Storage & Data Protection,HIGH,FAIL,s3://backups,Default encryption (SSE) is not enabled.,CIS AWS 2.1.3,Enable SSE-S3 or SSE-KMS as the bucket default.
aws,AWS-S3-003,S3 bucket versioning disabled,S3,Storage & Data Protection,MEDIUM,FAIL,s3://archive,Versioning is disabled; deleted/overwritten objects cannot be recovered.,CIS AWS 2.1.2,Enable versioning; pair with lifecycle rules for cost control.
aws,AWS-S3-004,S3 server access logging disabled,S3,Logging & Monitoring,LOW,FAIL,s3://legacy-public,Server access logging is disabled; no audit trail of object-level access.,,Enable server access logging to a dedicated logging bucket.
aws,AWS-EC2-001,Security group exposes management ports to the internet,EC2/Network,Network Security,CRITICAL,FAIL,sg:sg-web,Security group exposes ports [22] to 0.0.0.0/0.,CIS AWS 5.3,Restrict ingress to known CIDRs/VPC endpoints; use AWS Systems Manager Session Manager instead of SSH.
aws,AWS-EC2-001,Security group exposes management ports to the internet,EC2/Network,Network Security,CRITICAL,FAIL,sg:sg-db,Security group exposes ports [3306] to 0.0.0.0/0.,CIS AWS 5.3,Restrict ingress to known CIDRs/VPC endpoints; use AWS Systems Manager Session Manager instead of SSH.
aws,AWS-EC2-002,EBS volume not encrypted at rest,EC2/Network,Data Protection,HIGH,FAIL,vol:02,EBS volume is not encrypted at rest.,CIS AWS 5.1.1,Enable EBS encryption by default at the account level.
aws,AWS-EC2-003,Public AMI shared with all AWS accounts,EC2/Network,Compute,HIGH,FAIL,ami:02,AMI is public; any AWS account can launch instances from it.,,Make AMIs private; share explicitly with trusted accounts.
aws,AWS-EC2-004,Public instance attached to open security group,EC2/Network,Network Security,HIGH,FAIL,i-01,Instance has a public IP and is attached to a security group exposing management ports.,,Move instances into private subnets behind a bastion/ALB; scope security groups to the minimum required.
aws,AWS-RDS-001,RDS instance is publicly accessible,RDS,Database,CRITICAL,FAIL,rds:prod-db,RDS instance is publicly accessible.,CIS AWS 2.2.3,Disable public accessibility and place RDS in private subnets.
aws,AWS-RDS-002,RDS storage encryption disabled,RDS,Data Protection,HIGH,FAIL,rds:stage-db,RDS storage encryption is disabled.,,Enable RDS encryption (may require re-creation).
aws,AWS-RDS-003,RDS backup retention below 7 days,RDS,Backup & Recovery,MEDIUM,FAIL,rds:stage-db,Backup retention is 3 days (recommended >= 7).,,Set automated backup retention to at least 7 days.
aws,AWS-SNS-001,SNS topic publicly accessible,SNS,Network Security,MEDIUM,FAIL,arn:aws:sns:us-east-1:111122223333:alerts,SNS topic policy allows public subscription/publish.,,Restrict topic policies to trusted principals and actions.
aws,AWS-CT-001,CloudTrail disabled or misconfigured,CloudTrail,Logging & Monitoring,CRITICAL,FAIL,cloudtrail,CloudTrail is configured but: log file integrity validation disabled.,CIS AWS 3.1,Enable a multi-region trail with log file validation and an S3/KMS backed log store.
aws,AWS-CFG-001,AWS Config recorder not running,Config,Logging & Monitoring,MEDIUM,FAIL,aws-config,AWS Config recorder is not running.,CIS AWS 3.3,Enable the Config recorder and delivery channel.
aws,AWS-KMS-001,KMS key rotation disabled,KMS,Key Management,MEDIUM,FAIL,kms:legacy,KMS key rotation is disabled.,CIS AWS 3.6,Enable automatic yearly rotation for symmetric customer keys.
aws,AWS-ECR-001,ECR repository publicly accessible,ECR,Container Security,HIGH,FAIL,ecr:legacy,ECR repository policy allows public pulls.,,Set repository policy to deny public access and enforce private-only pulls.
aws,AWS-LMB-001,Lambda function on deprecated runtime,Lambda,Compute,MEDIUM,FAIL,lambda:old-etl,Lambda uses end-of-life runtime python3.7.,,"Migrate to a supported runtime (e.g. python3.12, nodejs20.x)."
aws,AWS-VPC-001,Default VPC in use,VPC,Network Security,HIGH,FAIL,vpc:vpc-default,The default VPC exists and is in use; it ships with permissive routing and no guard rails.,,Delete the default VPC (or stop using it) and deploy workloads in purpose-built VPCs.
aws,AWS-VPC-002,VPC flow logging not enabled,VPC,Logging & Monitoring,MEDIUM,FAIL,vpc:vpc-default,VPC flow logging is not enabled; network traffic cannot be audited or forensically reconstructed.,CIS AWS 3.7,Enable flow logs on every VPC to a centralized log destination.
aws,AWS-VPC-003,NACL allows all inbound traffic,VPC,Network Security,MEDIUM,FAIL,nacl:acl-legacy,"NACL contains an inbound allow-all rule from 0.0.0.0/0, bypassing subnet-level filtering.",,Replace allow-all NACL entries with explicit allow rules for required traffic.
aws,AWS-VPC-004,Default security group allows open ingress,VPC,Network Security,HIGH,FAIL,default-security-group,The default security group allows ingress from 0.0.0.0/0; default groups should have no inbound rules.,CIS AWS 5.5,Remove all inbound rules from default security groups.
aws,AWS-EC2-005,EBS encryption by default disabled,EC2,Data Protection,MEDIUM,FAIL,account-ebs,EBS encryption by default is not enabled; new volumes are created unencrypted unless specified.,CIS AWS 5.1.1,Enable EBS encryption by default and use a CMK where required.
aws,AWS-EC2-006,EC2 instance does not require IMDSv2,EC2,Compute,MEDIUM,FAIL,i-01,Instance does not require IMDSv2 (session-based tokens); the SSRF risk profile is higher.,,Enforce IMDSv2 (HttpTokens=required) on instances and AMIs.
aws,AWS-EC2-006,EC2 instance does not require IMDSv2,EC2,Compute,MEDIUM,FAIL,i-03,Instance does not require IMDSv2 (session-based tokens); the SSRF risk profile is higher.,,Enforce IMDSv2 (HttpTokens=required) on instances and AMIs.
aws,AWS-EC2-007,EC2 termination protection disabled,EC2,Backup & Recovery,LOW,FAIL,i-01,Instance termination protection is disabled; a stray terminate API call destroys it.,,Enable disableApiTermination on production instances.
aws,AWS-EC2-007,EC2 termination protection disabled,EC2,Backup & Recovery,LOW,FAIL,i-03,Instance termination protection is disabled; a stray terminate API call destroys it.,,Enable disableApiTermination on production instances.
aws,AWS-EC2-008,EC2 detailed monitoring disabled,EC2,Logging & Monitoring,LOW,FAIL,i-01,Detailed CloudWatch monitoring is disabled on the instance.,,Enable detailed monitoring on critical instances.
aws,AWS-EC2-008,EC2 detailed monitoring disabled,EC2,Logging & Monitoring,LOW,FAIL,i-03,Detailed CloudWatch monitoring is disabled on the instance.,,Enable detailed monitoring on critical instances.
aws,AWS-CW-003,No alarm for root account usage,CloudWatch,Logging & Monitoring,MEDIUM,PASS,cloudwatch-alarms,No alarm for root account usage - alarm present.,CIS AWS 4.3,Create a metric filter + alarm for RootAccountUsageEvent.
aws,AWS-CW-004,No alarm for IAM policy changes,CloudWatch,Logging & Monitoring,MEDIUM,PASS,cloudwatch-alarms,No alarm for IAM policy changes - alarm present.,CIS AWS 4.4,Create a metric filter + alarm for IAM PolicyEvent changes.
aws,AWS-CW-005,No alarm for CloudTrail changes,CloudWatch,Logging & Monitoring,MEDIUM,FAIL,cloudwatch-alarms,Disabling or misconfiguring CloudTrail removes the audit trail - changes must alert.,CIS AWS 4.5,Create a metric filter + alarm for CloudTrail events.
aws,AWS-CW-006,No alarm for console sign-in without MFA,CloudWatch,Logging & Monitoring,MEDIUM,FAIL,cloudwatch-alarms,Sign-ins without MFA indicate a bypass or a compromised password.,CIS AWS 4.2,Create a metric filter + alarm for ConsoleLogin without MFA.
aws,AWS-CW-007,No alarm for NACL changes,CloudWatch,Logging & Monitoring,MEDIUM,FAIL,cloudwatch-alarms,NACL changes alter subnet traffic filtering; unexpected changes must alert.,CIS AWS 4.11,Create a metric filter + alarm for NetworkAcl events.
aws,AWS-CW-008,No alarm for security group changes,CloudWatch,Logging & Monitoring,MEDIUM,FAIL,cloudwatch-alarms,Security group changes can open ports to the internet.,CIS AWS 4.10,Create a metric filter + alarm for SecurityGroup events.
aws,AWS-CW-009,No alarm for S3 bucket policy changes,CloudWatch,Logging & Monitoring,MEDIUM,FAIL,cloudwatch-alarms,Bucket policy changes can make data public.,CIS AWS 4.8,Create a metric filter + alarm for PutBucketPolicy events.
aws,AWS-CW-010,No alarm for KMS key changes,CloudWatch,Logging & Monitoring,MEDIUM,FAIL,cloudwatch-alarms,KMS key deletion/disabling destroys or locks data.,CIS AWS 4.7,Create a metric filter + alarm for KMS key events.
aws,AWS-CW-001,No alarm for unauthorized API calls,CloudWatch,Logging & Monitoring,MEDIUM,FAIL,cloudwatch-alarms,Repeated denied API calls are a classic attack signal.,CIS AWS 4.1,Create a metric filter + alarm for UnauthorizedOperation events.
aws,AWS-CW-002,No alarm for failed console sign-ins,CloudWatch,Logging & Monitoring,MEDIUM,FAIL,cloudwatch-alarms,Brute-force and credential-stuffing attempts produce failed sign-ins.,CIS AWS 4.6,Create a metric filter + alarm for ConsoleLogin failures.
aws,AWS-GD-001,GuardDuty not enabled,GuardDuty,Security Posture,HIGH,PASS,guardduty,GuardDuty is enabled with an active detector.,,Enable GuardDuty with an active detector and integrate findings into your SIEM.
aws,AWS-SM-001,Secret rotation disabled,Secrets Manager,Key Management,MEDIUM,FAIL,secret:legacy-api-key,Secret rotation is disabled; a leaked secret keeps working indefinitely.,,Enable automatic rotation (every 30-90 days) for all secrets.
aws,AWS-ACM-001,In-use certificate expiring within 30 days,ACM,Network Security,HIGH,FAIL,cert:arn:aws:acm:us-east-1:111122223333:cert/expiring,In-use certificate expires in 12 day(s); renew immediately to avoid service outage.,,Enable automatic renewal or monitor certificate expiry.
aws,AWS-CT-005,CloudTrail not actively logging,CloudTrail,Logging & Monitoring,CRITICAL,PASS,cloudtrail,CloudTrail is actively logging.,CIS AWS 3.1,Verify trail status shows IsLogging true and fix the delivery configuration.
aws,AWS-SQS-001,SQS queue publicly accessible,SQS,Network Security,MEDIUM,FAIL,https://sqs.us-east-1.amazonaws.com/111122223333/alerts,SQS queue policy allows anonymous SendMessage.,,Restrict queue policies to trusted principals.
aws,AWS-SQS-002,SQS queue not encrypted,SQS,Data Protection,MEDIUM,FAIL,https://sqs.us-east-1.amazonaws.com/111122223333/alerts,SQS queue does not use server-side encryption.,,Enable SSE (SQS-managed or KMS) on all queues.
aws,AWS-DDB-001,DynamoDB point-in-time recovery disabled,DynamoDB,Backup & Recovery,MEDIUM,FAIL,ddb:legacy-log,Point-in-time recovery is disabled; data can only be restored to the last backup.,,Enable PITR on all production tables.
aws,AWS-DDB-002,DynamoDB table not KMS-encrypted,DynamoDB,Data Protection,LOW,FAIL,ddb:legacy-log,Table is not encrypted with a KMS key.,,Configure KMS customer-managed keys for tables.
aws,AWS-RSH-001,Redshift cluster publicly accessible,Redshift,Database,CRITICAL,FAIL,redshift:analytics,Redshift cluster is publicly accessible.,,Disable public accessibility and place clusters in private subnets.
aws,AWS-RSH-002,Redshift encryption disabled,Redshift,Data Protection,HIGH,PASS,redshift-clusters,All Redshift clusters are encrypted.,,Enable cluster encryption (may require re-creation).
aws,AWS-RSH-003,Redshift audit logging disabled,Redshift,Logging & Monitoring,MEDIUM,FAIL,redshift:analytics,Redshift audit logging is disabled.,,Enable audit logging to S3/CloudWatch.
aws,AWS-EFS-001,EFS file system not encrypted,EFS,Data Protection,HIGH,FAIL,efs:fs-legacy,EFS file system is not encrypted at rest.,,Recreate the file system with encryption enabled.
aws,AWS-EFS-002,EFS backup policy missing,EFS,Backup & Recovery,LOW,FAIL,efs:fs-legacy,EFS file system has no automatic backup policy.,,Attach an AWS Backup policy to the file system.
aws,AWS-EC-001,ElastiCache not encrypted at rest,ElastiCache,Data Protection,HIGH,FAIL,elasticache:cache-legacy,ElastiCache cluster is not encrypted at rest.,,Enable at-rest encryption on the cluster.
aws,AWS-EC-002,ElastiCache not encrypted in transit,ElastiCache,Network Security,HIGH,FAIL,elasticache:cache-legacy,ElastiCache cluster does not encrypt traffic in transit.,,Enable in-transit encryption (Redis AUTH).
aws,AWS-RDS-004,RDS deletion protection disabled,RDS,Backup & Recovery,MEDIUM,FAIL,rds:stage-db,Deletion protection is disabled; the database can be deleted accidentally or maliciously.,,Enable deletion protection on all production instances.
aws,AWS-RDS-005,RDS instance not Multi-AZ,RDS,Backup & Recovery,LOW,FAIL,rds:stage-db,RDS instance is not Multi-AZ; failover on AZ loss is unavailable.,,Enable Multi-AZ deployment.
aws,AWS-ELB-001,Load balancer without HTTPS/TLS listener,ELB,Network Security,HIGH,FAIL,elb:legacy-elb,Load balancer has no HTTPS/TLS listener; client traffic is plaintext.,,Add HTTPS/TLS listeners and redirect HTTP to HTTPS.
aws,AWS-ELB-002,Load balancer access logging disabled,ELB,Logging & Monitoring,MEDIUM,FAIL,elb:legacy-elb,Load balancer access logging is disabled.,,Enable access logs to a centralized S3 bucket.
aws,AWS-ELB-002,Load balancer access logging disabled,ELB,Logging & Monitoring,MEDIUM,FAIL,elb:stage-alb,Load balancer access logging is disabled.,,Enable access logs to a centralized S3 bucket.
aws,AWS-EKS-001,EKS cluster API endpoint publicly accessible,EKS,Kubernetes,HIGH,FAIL,eks:legacy-eks,EKS cluster API endpoint is publicly accessible.,,Disable public endpoint access and use private endpoints with authorized CIDRs.
aws,AWS-API-001,API Gateway access logging disabled,API Gateway,Logging & Monitoring,MEDIUM,FAIL,apigw:internal-api,API Gateway stage has no access logging or method settings.,,Enable access logging and method settings on all stages.
aws,AWS-R53-001,DNSSEC not enabled,Route 53,Network Security,LOW,FAIL,route53,DNSSEC is not enabled on any hosted zone; DNS responses can be spoofed.,,Enable DNSSEC signing on production hosted zones.
aws,AWS-S3-005,Account-level S3 block public access disabled,S3,Storage & Data Protection,CRITICAL,FAIL,s3-block-public,Account-level S3 block public access is not fully enabled.,CIS AWS 2.1.4,Enable all four block public access settings at account level.
aws,AWS-CF-001,CloudFront distribution without WAF,CloudFront,Network Security,HIGH,FAIL,cf:E2LEGACY,Distribution is not associated with an AWS WAF web ACL; no L7 filtering.,,Associate an AWS WAF web ACL with every distribution.
aws,AWS-CF-002,CloudFront minimum TLS below 1.2,CloudFront,Network Security,MEDIUM,FAIL,cf:E2LEGACY,Minimum TLS protocol is TLSv1 (require TLSv1.2+).,,Set MinimumProtocolVersion to TLSv1.2_2021.
aws,AWS-CF-003,CloudFront access logging disabled,CloudFront,Logging & Monitoring,LOW,FAIL,cf:E2LEGACY,Distribution access logging is disabled.,,Enable standard/real-time logging to S3.
aws,AWS-CF-004,CloudFront uses default certificate,CloudFront,Network Security,MEDIUM,FAIL,cf:E2LEGACY,Distribution uses the default cloudfront.net certificate; serve content under your own domain with an ACM cert.,,Attach an ACM certificate and serve under your domain.
aws,AWS-CF-005,CloudFront origin uses HTTP,CloudFront,Network Security,MEDIUM,FAIL,cf:E2LEGACY,Origin protocol policy is HTTP-only; edge-to-origin traffic is plaintext.,,Set origin protocol policy to HTTPS-only.
aws,AWS-ELB-003,Load balancer uses deprecated SSL policy,ELB,Network Security,MEDIUM,FAIL,elb:legacy-elb,Listener uses a deprecated SSL policy (TLS 1.0/1.1 or pre-2016 ciphers).,,Use an ELBSecurityPolicy-TLS-1-2 policy on all listeners.
aws,AWS-ELB-004,HTTP listener without HTTPS redirect,ELB,Network Security,HIGH,FAIL,elb:legacy-elb,HTTP listener does not redirect to HTTPS.,,Add a listener rule redirecting HTTP to HTTPS.
aws,AWS-ELB-005,Application load balancer without WAF,ELB,Network Security,HIGH,PASS,load-balancers,All application load balancers have WAF attached.,,Associate a WAF web ACL with the ALB.
aws,AWS-RDS-006,RDS log export to CloudWatch disabled,RDS,Logging & Monitoring,MEDIUM,FAIL,rds:stage-db,RDS does not export logs (error/general/slow-query) to CloudWatch.,,Enable CloudWatch log exports on RDS instances.
aws,AWS-EKS-002,EKS control plane logging disabled,EKS,Logging & Monitoring,MEDIUM,FAIL,eks:legacy-eks,EKS control plane logging (audit/authenticator) is not enabled.,,Enable audit and authenticator log types.
aws,AWS-CWG-001,Log group retention below 365 days,CloudWatch Logs,Logging & Monitoring,MEDIUM,FAIL,loggroup:/aws/lambda/old-etl,Log group retention is 30; keep audit logs at least 365 days.,,Set log group retention to >= 365 days (or never expire for compliance logs).
aws,AWS-CWG-001,Log group retention below 365 days,CloudWatch Logs,Logging & Monitoring,MEDIUM,FAIL,loggroup:/aws/rds/prod-db,Log group retention is never-expire-but-unset; keep audit logs at least 365 days.,,Set log group retention to >= 365 days (or never expire for compliance logs).
aws,AWS-CWG-002,Log group not KMS-encrypted,CloudWatch Logs,Data Protection,LOW,FAIL,loggroup:/aws/lambda/old-etl,Log group is not encrypted with a KMS key.,,Encrypt log groups with a KMS CMK.
aws,AWS-CWG-002,Log group not KMS-encrypted,CloudWatch Logs,Data Protection,LOW,FAIL,loggroup:/aws/rds/prod-db,Log group is not encrypted with a KMS key.,,Encrypt log groups with a KMS CMK.
aws,AWS-BACK-001,No AWS Backup plans,AWS Backup,Backup & Recovery,MEDIUM,FAIL,aws-backup,No AWS Backup plans exist; resources rely on per-service backups only.,,Create AWS Backup plans covering critical resources.
aws,AWS-SM-002,Secret not encrypted with CMK,Secrets Manager,Data Protection,LOW,FAIL,secret:legacy-api-key,"Secret uses the default AWS-managed KMS key, not a customer-managed key.",,Encrypt secrets with a customer-managed KMS key.
aws,AWS-EC2-009,EBS snapshot publicly shared,EC2,Storage & Data Protection,CRITICAL,FAIL,snapshot:snap-leaked,EBS snapshot is public; any AWS account can copy it and read the data.,,Set snapshot createVolumePermission to private.
aws,AWS-IAM-007,Role trust allows cross-account or wildcard principals,IAM,Identity & Access,MEDIUM,FAIL,role:delegated-role,Role trust policy allows principals from another account; verify it is intended and limited.,,Restrict assume-role principals to known accounts/roles.
aws,AWS-S3-006,S3 lifecycle rules missing,S3,Security Posture,LOW,FAIL,s3://legacy-public,Bucket has no lifecycle rules; stale objects accumulate cost and risk.,,Define lifecycle rules to expire/transition stale objects.
aws,AWS-S3-006,S3 lifecycle rules missing,S3,Security Posture,LOW,FAIL,s3://archive,Bucket has no lifecycle rules; stale objects accumulate cost and risk.,,Define lifecycle rules to expire/transition stale objects.
aws,AWS-LMB-002,Lambda function publicly invokable,Lambda,Network Security,HIGH,FAIL,lambda:old-etl,Function resource policy allows anonymous invoke.,,Remove public resource policies; use API Gateway/IAM auth.
aws,AWS-DDB-003,DynamoDB table policy public,DynamoDB,Network Security,HIGH,PASS,dynamodb-tables,No tables have public policies.,,Remove anonymous principals from table policies.
aws,AWS-CF-006,CloudFront geo restriction not enabled,CloudFront,Network Security,MEDIUM,FAIL,cf:E2LEGACY,No geo restriction (whitelist) is configured on the distribution.,,Configure a geo-restriction whitelist on the distribution.
aws,AWS-CF-007,CloudFront field-level encryption not enabled,CloudFront,Data Protection,MEDIUM,FAIL,cf:E2LEGACY,Field-level encryption is not enabled; sensitive fields are delivered to the origin in plaintext.,,Enable field-level encryption and configure encrypted fields.
aws,AWS-CF-008,CloudFront S3 origin without OAC/OAI,CloudFront,Network Security,HIGH,FAIL,cf:E2LEGACY,S3 origin is not locked down with OAC/OAI; the bucket may remain publicly readable.,,Restrict the origin bucket to CloudFront via OAC/OAI.
aws,AWS-CW-011,No CloudWatch dashboards,CloudWatch,Logging & Monitoring,LOW,FAIL,cloudwatch,No CloudWatch dashboards; operational/security metrics have no centralized view.,,"Create dashboards for key metrics (errors, throttles, cost)."
aws,AWS-CT-006,CloudTrail log bucket not encrypted,CloudTrail,Data Protection,HIGH,FAIL,cloudtrail,The CloudTrail log bucket is not encrypted at rest.,CIS AWS 3.5,Enable SSE on the CloudTrail bucket (SSE-S3 or SSE-KMS).
aws,AWS-CT-007,CloudTrail not using KMS key,CloudTrail,Key Management,MEDIUM,FAIL,cloudtrail,CloudTrail is not configured with a KMS CMK for log encryption.,CIS AWS 3.5,Configure CloudTrail with a KMS key for log encryption.
aws,AWS-EC2-010,EBS snapshot not encrypted,EC2/Network,Data Protection,HIGH,FAIL,snap:snap-leaked,EBS snapshot is not encrypted at rest.,,Copy snapshots with encryption enabled and delete the originals.
aws,AWS-EC2-011,Public instance without security group,EC2/Network,Network Security,HIGH,FAIL,i-03,Instance has a public IP but no security group is attached.,,Attach a restrictive security group to every instance.
aws,AWS-EC2-012,Unused security group,EC2/Network,Security Posture,LOW,FAIL,sg:sg-db,Security group is not referenced by any instance.,,Delete unused security groups or document their purpose.
aws,AWS-RDS-007,RDS auto minor version upgrade disabled,RDS,Security Posture,MEDIUM,FAIL,rds:stage-db,Auto minor version upgrade is disabled; known engine fixes are missed.,,Enable auto minor version upgrade on RDS instances.
aws,AWS-RDS-008,Public RDS snapshot,RDS,Data Protection,CRITICAL,FAIL,rds-snapshots,At least one RDS snapshot is publicly shareable.,,Revoke public sharing on all RDS snapshots.
aws,AWS-LMB-003,Lambda function not in a VPC,Lambda,Network Security,MEDIUM,FAIL,lambda:old-etl,Lambda function is not attached to a VPC; it runs on shared AWS-managed network infrastructure.,,Attach Lambda functions to a VPC when they access VPC resources.
aws,AWS-LMB-004,Lambda X-Ray tracing disabled,Lambda,Logging & Monitoring,LOW,FAIL,lambda:old-etl,X-Ray tracing is disabled; no end-to-end request traces for the function.,,Enable active tracing on Lambda functions.
aws,AWS-S3-007,S3 MFA delete not enabled,S3,Data Protection,MEDIUM,FAIL,s3://legacy-public,MFA delete is not enabled; destructive deletes bypass multi-factor authentication.,,Enable MFA delete on versioned buckets (requires a root MFA token).
aws,AWS-S3-007,S3 MFA delete not enabled,S3,Data Protection,MEDIUM,FAIL,s3://backups,MFA delete is not enabled; destructive deletes bypass multi-factor authentication.,,Enable MFA delete on versioned buckets (requires a root MFA token).
aws,AWS-S3-007,S3 MFA delete not enabled,S3,Data Protection,MEDIUM,FAIL,s3://archive,MFA delete is not enabled; destructive deletes bypass multi-factor authentication.,,Enable MFA delete on versioned buckets (requires a root MFA token).
aws,AWS-SNS-002,SNS topic not KMS-encrypted,SNS,Data Protection,MEDIUM,FAIL,arn:aws:sns:us-east-1:111122223333:alerts,SNS topic is not encrypted with a KMS key.,,Associate a KMS key with the topic.
aws,AWS-ECR-002,ECR image scanning on push disabled,ECR,Security Posture,MEDIUM,FAIL,ecr:legacy,Image scanning on push is disabled; vulnerabilities are not detected before deploy.,,Enable enhanced scanning on ECR repositories.
aws,AWS-ECR-003,ECR lifecycle policy missing,ECR,Security Posture,LOW,FAIL,ecr:legacy,No lifecycle policy; stale images accumulate and may retain vulnerable code.,,Add a lifecycle policy to expire old/untagged images.
aws,AWS-SQS-003,SQS queue without dead-letter queue,SQS,Resilience,LOW,FAIL,alerts,Queue has no dead-letter queue; failed messages are silently lost.,,Configure a DLQ with a redrive policy.
aws,AWS-ELB-006,Classic ELB without TLS listener,ELB,Network Security,HIGH,FAIL,elb:legacy-elb,Classic load balancer has no HTTPS/SSL listener.,,Terminate TLS on the listener or migrate to ALB/NLB with TLS.
