cloud,check_id,check_title,service,category,severity,status,resource,detail,cis,remediation
gcp,GCP-IAM-001,Service account uses user-managed keys,IAM,Identity & Access,HIGH,FAIL,sa:svc-ci@demo-prod-gcp-123456.iam.gserviceaccount.com,Service account has 1 user-managed JSON key(s) (long-lived credentials).,CIS GCP 1.1,Delete user-managed keys and use workload identity / impersonation.
gcp,GCP-IAM-002,Primitive role assigned to a human user,IAM,Identity & Access,CRITICAL,FAIL,user:admin@example.com,Primitive role roles/owner assigned to a human user.,CIS GCP 1.4,Replace primitive roles with least-privilege custom roles and groups.
gcp,GCP-IAM-003,Project IAM binding grants anonymous/all-authenticated access,IAM,Identity & Access,CRITICAL,PASS,project-iam,No bindings for allUsers / allAuthenticatedUsers.,CIS GCP 1.6,Remove public bindings; use signed URLs / IAP where sharing is required.
gcp,GCP-ST-001,Bucket publicly readable,Cloud Storage,Storage & Data Protection,CRITICAL,FAIL,gs://demo-legacy-public,Bucket is publicly readable (allUsers in IAM policy or legacy ACL).,CIS GCP 2.1,Remove allUsers/allAuthenticatedUsers bindings and enable public access prevention.
gcp,GCP-ST-002,Uniform bucket-level access disabled,Cloud Storage,Storage & Data Protection,MEDIUM,FAIL,gs://demo-legacy-public,Uniform bucket-level access is disabled (legacy object ACLs in use).,CIS GCP 2.8,Enable uniform bucket-level access on all buckets.
gcp,GCP-ST-003,Bucket versioning disabled,Cloud Storage,Backup & Recovery,MEDIUM,FAIL,gs://demo-backups,Object versioning is disabled.,CIS GCP 2.10,Enable versioning on buckets holding mutable data.
gcp,GCP-ST-004,Bucket not using customer-managed encryption key,Cloud Storage,Data Protection,LOW,FAIL,gs://demo-legacy-public,"Bucket uses Google-managed encryption keys, not a CMEK.",,Configure default KMS keys on buckets where required.
gcp,GCP-ST-004,Bucket not using customer-managed encryption key,Cloud Storage,Data Protection,LOW,FAIL,gs://demo-backups,"Bucket uses Google-managed encryption keys, not a CMEK.",,Configure default KMS keys on buckets where required.
gcp,GCP-FW-001,Firewall rule exposes management ports to the internet,VPC/Firewall,Network Security,CRITICAL,FAIL,fw:allow-https,Firewall rule exposes ports [443] to 0.0.0.0/0.,CIS GCP 3.6,Restrict source ranges; use IAP tunnel for SSH and remove broad rules.
gcp,GCP-FW-001,Firewall rule exposes management ports to the internet,VPC/Firewall,Network Security,CRITICAL,FAIL,fw:allow-ssh-legacy,Firewall rule exposes ports [22] to 0.0.0.0/0.,CIS GCP 3.6,Restrict source ranges; use IAP tunnel for SSH and remove broad rules.
gcp,GCP-FW-002,Default VPC contains open firewall rules,VPC/Firewall,Network Security,HIGH,FAIL,default-vpc,Default VPC contains open firewall rules: allow-ssh-legacy.,CIS GCP 3.1,Disable the default network; create hardened VPCs with deny-by-default rules.
gcp,GCP-CMP-001,Disk not using customer-managed encryption key,Compute,Data Protection,LOW,FAIL,disk:legacy-vm-disk,"Disk uses Google-managed key, not CMEK.",,Use CMEK for disks where compliance requires key control.
gcp,GCP-CMP-002,Shielded VM disabled,Compute,Compute,MEDIUM,FAIL,instance:legacy-vm,Shielded VM (secure boot / vTPM / integrity monitoring) is disabled.,CIS GCP 4.3,"Enable secure boot, vTPM and integrity monitoring on instances."
gcp,GCP-SQL-001,Cloud SQL instance only has public IP,Cloud SQL,Database,HIGH,FAIL,sql:legacy-db,Cloud SQL instance only has a public IP address.,CIS GCP 6.1,Assign a private IP and disable public IP on Cloud SQL instances.
gcp,GCP-SQL-002,Cloud SQL does not require SSL,Cloud SQL,Network Security,MEDIUM,FAIL,sql:legacy-db,Cloud SQL does not require SSL/TLS connections.,CIS GCP 6.2,Set require_ssl=true (and enforce TLS 1.2+).
gcp,GCP-SQL-003,Cloud SQL automated backups disabled,Cloud SQL,Backup & Recovery,MEDIUM,FAIL,sql:legacy-db,Automated backups are disabled.,CIS GCP 6.6,Enable automated backups with a suitable retention window.
gcp,GCP-KMS-001,KMS key rotation not configured,Cloud KMS,Key Management,MEDIUM,FAIL,kms:projects/demo-prod-gcp-123456/locations/global/keyRings/legacy/cryptoKeys/db,KMS key rotation is not configured (or period > 90 days).,CIS GCP 1.9,Configure rotation period <= 90 days for symmetric keys.
gcp,GCP-LOG-001,Admin activity audit logging disabled,Cloud Logging,Logging & Monitoring,HIGH,FAIL,project-audit-config,Admin activity audit logging is not enabled for the project.,CIS GCP 2.12,Enable admin activity (and optionally data access) audit logs for all services.
gcp,GCP-LOG-002,No log sinks for external log export,Cloud Logging,Logging & Monitoring,MEDIUM,FAIL,log-sinks,No log sinks export logs to an external SIEM/storage for retention and correlation.,CIS GCP 2.13,Create log sinks to BigQuery/PubSub/Storage with a retention policy.
gcp,GCP-GKE-001,GKE cluster is not private,GKE,Kubernetes,HIGH,FAIL,gke:legacy-cluster,GKE cluster nodes have public IPs (not a private cluster).,CIS GKE 1.3.1,Create private clusters with authorized networks and no public endpoint.
gcp,GCP-GKE-002,GKE network policy disabled,GKE,Kubernetes,MEDIUM,FAIL,gke:legacy-cluster,Network policy is not enabled on the cluster.,CIS GKE 1.2.5,Enable NetworkPolicy enforcement on the cluster.
gcp,GCP-GKE-003,GKE uses legacy ABAC / no release channel,GKE,Kubernetes,CRITICAL,FAIL,gke:legacy-cluster,Legacy ABAC authorization is enabled (cluster-wide permissions); cluster is not enrolled in a release channel (misses managed security upgrades).,CIS GKE 1.1.1,Disable ABAC and enroll the cluster in a release channel.
gcp,GCP-IAM-004,External user in project IAM,IAM,Identity & Access,MEDIUM,FAIL,user:vendor@partner.com,External identity user:vendor@partner.com holds roles/viewer; verify it is required and governed.,,Remove external users or manage them through identity federation and access reviews.
gcp,GCP-IAM-005,Service account key older than 90 days,IAM,Identity & Access,MEDIUM,FAIL,sa:svc-ci@demo-prod-gcp-123456.iam.gserviceaccount.com,Service account key is 210 days old (rotate within 90 days).,,Rotate keys and move workloads to workload identity.
gcp,GCP-ST-005,Bucket retention policy missing,Cloud Storage,Backup & Recovery,LOW,FAIL,gs://demo-legacy-public,Bucket has no retention policy; deleted objects cannot be recovered.,,Configure retention policies on buckets holding regulated data.
gcp,GCP-ST-006,Bucket lifecycle rules missing,Cloud Storage,Security Posture,LOW,FAIL,gs://demo-legacy-public,No lifecycle rules; stale or redundant objects accumulate cost and risk.,,Define lifecycle rules to transition and delete stale objects.
gcp,GCP-ST-006,Bucket lifecycle rules missing,Cloud Storage,Security Posture,LOW,FAIL,gs://demo-backups,No lifecycle rules; stale or redundant objects accumulate cost and risk.,,Define lifecycle rules to transition and delete stale objects.
gcp,GCP-CMP-003,Instance has an external IP,Compute,Network Security,MEDIUM,FAIL,instance:web-vm,Instance has an external IP; prefer IAP or Cloud NAT for egress.,,Remove external IPs and use IAP/Cloud NAT.
gcp,GCP-CMP-003,Instance has an external IP,Compute,Network Security,MEDIUM,FAIL,instance:legacy-vm,Instance has an external IP; prefer IAP or Cloud NAT for egress.,,Remove external IPs and use IAP/Cloud NAT.
gcp,GCP-NET-001,Subnet VPC flow logs disabled,VPC,Logging & Monitoring,MEDIUM,FAIL,subnet:legacy-subnet,VPC flow logs are not enabled on this subnet.,,Enable VPC flow logs on subnets (sampled 50%).
gcp,GCP-NET-002,DNSSEC not enabled on all zones,Cloud DNS,Network Security,LOW,FAIL,cloud-dns,DNSSEC enabled on 1/3 managed zones.,,Enable DNSSEC on production managed zones.
gcp,GCP-SQL-004,Cloud SQL not encrypted with CMEK,Cloud SQL,Data Protection,LOW,FAIL,sql:legacy-db,Cloud SQL not encrypted with CMEK.,,Encrypt instances with CMEK where required.
gcp,GCP-SQL-005,Cloud SQL authorized networks include 0.0.0.0/0,Cloud SQL,Network Security,HIGH,FAIL,sql:legacy-db,Authorized networks include 0.0.0.0/0 (open to the internet).,,Remove 0.0.0.0/0 and restrict to trusted CIDRs / private IP.
gcp,GCP-GKE-004,GKE Workload Identity disabled,GKE,Identity & Access,MEDIUM,FAIL,gke:legacy-cluster,Workload Identity is not enabled; pods must use long-lived keys or node IAM.,,Enable Workload Identity on the cluster and namespaces.
gcp,GCP-GKE-005,GKE shielded nodes disabled,GKE,Compute,MEDIUM,FAIL,gke:legacy-cluster,Shielded nodes are disabled; nodes lack secure boot and integrity monitoring.,,Enable shielded nodes (secure boot + integrity monitoring).
gcp,GCP-GKE-006,GKE master endpoint publicly accessible,GKE,Network Security,MEDIUM,FAIL,gke:legacy-cluster,Cluster master endpoint is publicly accessible (private endpoint access disabled).,,Enable private endpoint access and disable public access.
gcp,GCP-GKE-007,GKE logging or monitoring disabled,GKE,Logging & Monitoring,MEDIUM,PASS,gke-clusters,All clusters send logs and metrics.,,Enable Cloud Logging and Cloud Monitoring for the cluster.
gcp,GCP-BQ-001,BigQuery dataset publicly readable,BigQuery,Storage & Data Protection,CRITICAL,FAIL,bq:legacy_exports,BigQuery dataset is publicly readable (allUsers binding).,,Remove allUsers/allAuthenticatedUsers bindings.
gcp,GCP-BQ-002,BigQuery dataset not using CMEK,BigQuery,Data Protection,LOW,FAIL,bq:legacy_exports,"Dataset uses Google-managed keys, not CMEK.",,Set a default CMEK on datasets where required.
gcp,GCP-SM-001,Secret rotation not configured,Secret Manager,Key Management,MEDIUM,FAIL,secret:legacy-api-key,Secret rotation policy is not configured.,,Configure rotation periods on all secrets.
gcp,GCP-ORG-001,Domain-restricted sharing not enforced,Org Policies,Identity & Access,MEDIUM,FAIL,org-policies,The iam.allowedPolicyMemberDomains constraint is not enforced; external principals can be added to IAM.,,Enforce domain-restricted sharing at the organization.
gcp,GCP-ORG-002,VM external IP constraint not enforced,Org Policies,Network Security,MEDIUM,PASS,org-policies,VM external IP constraint - enforced.,,Restrict compute.vmExternalIpAccess at the organization.
gcp,GCP-LOG-003,Data access audit logs disabled,Cloud Logging,Logging & Monitoring,MEDIUM,FAIL,project-audit-config,Data access audit logging is not enabled (only admin activity is captured).,,Enable DATA_READ/DATA_WRITE audit logs for sensitive services.
gcp,GCP-CR-001,Cloud Run allows unauthenticated invocation,Cloud Run,Network Security,HIGH,FAIL,run:public-api,Cloud Run service allows unauthenticated invocation (allUsers/allAuthenticatedUsers).,,Remove allUsers/allAuthenticatedUsers from the service IAM policy; require authentication.
