cloud,check_id,check_title,service,category,severity,status,resource,detail,cis,remediation
oci,OCI-IAM-001,OCI user without MFA,IAM,Identity & Access,HIGH,PASS,iam-users,All console users have MFA enrolled.,CIS OCI 1.7,Enforce MFA for all console users via the Identity policy 'mfa-totp' and group policy.
oci,OCI-IAM-002,User holds long-lived API signing keys,IAM,Identity & Access,LOW,FAIL,user:demo.svc,User has 2 long-lived API signing key(s).,CIS OCI 1.8,Use instance principals / resource principals and rotate keys regularly.
oci,OCI-IAM-003,IAM policy grants broad manage all-resources,IAM,Identity & Access,CRITICAL,FAIL,policy:Network-Admins-Policy,Policy contains statements granting manage all-resources (tenancy/root compartment).,CIS OCI 1.2,Scope policies to compartments and specific resource-types; audit with Policy Analyzer.
oci,OCI-OS-001,Bucket publicly readable,Object Storage,Storage & Data Protection,CRITICAL,FAIL,oci://demo-legacy-share,Bucket is publicly readable (public access type: ObjectRead).,CIS OCI 4.1,Set public access type to NoPublicAccess and review bucket policies.
oci,OCI-OS-002,Bucket versioning disabled,Object Storage,Backup & Recovery,MEDIUM,FAIL,oci://demo-legacy-share,Bucket versioning is disabled.,,Enable versioning on buckets holding mutable data.
oci,OCI-OS-003,Bucket not using customer-managed encryption key,Object Storage,Data Protection,LOW,FAIL,oci://demo-legacy-share,"Bucket uses Oracle-managed keys, not a Vault customer key.",,Encrypt buckets with a Vault-managed key where required.
oci,OCI-NET-001,Security list exposes management ports to the internet,VCN/Security Lists,Network Security,CRITICAL,FAIL,seclist:sl-web,"Security list exposes ports [22, 443] to 0.0.0.0/0.",CIS OCI 2.1 / 2.2,Restrict security list ingress to trusted CIDRs; use OCI Bastion service for SSH.
oci,OCI-NET-002,NSG allows open ingress to management ports,VCN/NSG,Network Security,HIGH,FAIL,nsg:nsg-legacy,NSG contains an ingress rule open to 0.0.0.0/0 on management ports.,CIS OCI 2.3 / 2.4,Scope NSG ingress rules to specific source CIDRs and ports.
oci,OCI-BV-001,Volume not encrypted with customer-managed key,Block Storage,Data Protection,LOW,FAIL,volume:legacy-block,"Block volume uses Oracle-managed encryption keys, not a customer-managed Vault key.",,Encrypt volumes with a Vault customer key where compliance requires it.
oci,OCI-DB-001,Autonomous Database uses a public endpoint,Autonomous Database,Database,HIGH,FAIL,adb:legacy-adb,Autonomous Database uses a public endpoint.,,Disable public access and use private endpoints / private DNS.
oci,OCI-DB-002,ADB not using customer-managed encryption key,Autonomous Database,Data Protection,LOW,FAIL,adb:legacy-adb,ADB uses Oracle-managed keys (not customer-managed Vault keys).,,Associate a Vault master key with the database.
oci,OCI-KMS-001,Vault key rotation disabled,Vault,Key Management,MEDIUM,FAIL,key:ocid1.key.oc1..kmslegacy,Vault key rotation is disabled (or no rotation schedule).,CIS OCI 3.16,"Enable key rotation (min 90 days, or use versioned keys)."
oci,OCI-CG-001,Cloud Guard not enabled,Cloud Guard,Security Posture,HIGH,PASS,cloud-guard,Cloud Guard is enabled with a target in the tenancy.,CIS OCI 3.15,Enable Cloud Guard with a tenancy-level target and responder rules.
oci,OCI-NET-003,VCN flow logging disabled,VCN/Subnets,Logging & Monitoring,MEDIUM,FAIL,subnet:legacy-subnet,VCN flow logging is not enabled on this subnet.,CIS OCI 3.14,Enable flow logs on all subnets and ship to a log group.
oci,OCI-IAM-004,No MFA enforcement policy,IAM,Identity & Access,HIGH,FAIL,iam-policies,No IAM policy enforces MFA; console and API access can proceed without it.,CIS OCI 1.7,Add an identity policy enforcing MFA for all users/groups.
oci,OCI-IAM-005,IAM policy scoped to tenancy root,IAM,Identity & Access,MEDIUM,FAIL,policy:Network-Admins-Policy,Policy statement is scoped to the tenancy root compartment - applies to every compartment.,CIS OCI 1.2,Scope policies to compartments and specific resource-types.
oci,OCI-NET-007,NSG not referenced by any resource,VCN/NSG,Network Security,LOW,FAIL,nsg:nsg-legacy,NSG is not referenced by any resource; it provides no protection.,,Attach the NSG to the intended resources or delete it.
oci,OCI-OS-004,Bucket has active pre-authenticated requests,Object Storage,Network Security,HIGH,FAIL,oci://demo-legacy-share,Bucket has 3 active pre-authenticated request(s) - time-bound URLs that bypass IAM.,,List and revoke unused PARs; prefer signed URLs issued on demand.
oci,OCI-NET-004,Internet gateway enabled,VCN,Network Security,LOW,FAIL,igw:igw-prod,Enabled internet gateway provides direct public routing for the VCN.,,Disable internet gateways not required and route egress through NAT.
oci,OCI-NET-004,Internet gateway enabled,VCN,Network Security,LOW,FAIL,igw:igw-legacy,Enabled internet gateway provides direct public routing for the VCN.,,Disable internet gateways not required and route egress through NAT.
oci,OCI-NET-005,Load balancer without SSL listener,Load Balancer,Network Security,HIGH,FAIL,lb:lb-legacy,Load balancer has no listener with SSL/TLS; traffic is plaintext.,,Terminate TLS on all listeners and redirect HTTP to HTTPS.
oci,OCI-NET-006,Load balancer is public,Load Balancer,Network Security,MEDIUM,FAIL,lb:lb-web,Load balancer has a public IP; consider private LB behind a WAF/bastion.,,Use private load balancers behind WAF where possible.
oci,OCI-NET-006,Load balancer is public,Load Balancer,Network Security,MEDIUM,FAIL,lb:lb-legacy,Load balancer has a public IP; consider private LB behind a WAF/bastion.,,Use private load balancers behind WAF where possible.
oci,OCI-BV-002,Volume has no backups,Block Storage,Backup & Recovery,MEDIUM,FAIL,volume:legacy-block,Volume has no backups configured; data loss cannot be recovered.,,Configure automatic or policy-based backups for all volumes.
oci,OCI-BST-001,No Bastion service deployed,Bastion,Network Security,MEDIUM,FAIL,bastion,No Bastion service; SSH/RDP to compute is likely exposed via public ingress.,,Deploy the Bastion service and remove public management ingress.
oci,OCI-DB-003,Autonomous Data Guard disabled,Autonomous Database,Backup & Recovery,LOW,FAIL,adb:legacy-adb,Autonomous Data Guard is not enabled; no cross-region failover for the database.,,Enable Autonomous Data Guard for production databases.
oci,OCI-CG-002,No Cloud Guard detector recipes active,Cloud Guard,Security Posture,MEDIUM,PASS,cloud-guard,Cloud Guard has 2 detector recipe(s) active.,CIS OCI 3.15,Enable managed detector recipes and attach them to targets.
oci,OCI-FS-001,File system not encrypted with customer-managed key,File Storage,Data Protection,LOW,FAIL,fs:fs-legacy,"File system uses Oracle-managed keys, not a Vault customer key.",,Associate a Vault master key with the file system.
oci,OCI-FS-002,File system has no snapshots,File Storage,Backup & Recovery,MEDIUM,FAIL,fs:fs-legacy,File system has no snapshots; data cannot be rolled back.,,Enable automatic snapshots on file systems.
oci,OCI-OSMS-001,OS Management Service not managing instances,OS Management,Security Posture,MEDIUM,FAIL,osms,No instances are managed by OS Management Service; patch and vulnerability compliance is not tracked.,,Onboard instances to OS Management Service.
oci,OCI-OS-005,Bucket lifecycle policy missing,Object Storage,Security Posture,LOW,FAIL,oci://demo-legacy-share,Bucket has no lifecycle policy; stale objects accumulate.,,Define a lifecycle policy to expire/archive objects.
